index,complexity,loss,equation_raw,equation_math,equation_latex
1,1,0.008271471062772682,x_total_impurity,x_total_impurity,x_total_impurity
2,2,0.001854529812085623,-0.0526360828472912,-0.052636,-0.052636
3,4,0.0007291073507872088,x_total_impurity * -2.554976411527522,x_total_impurity * -2.555,x_total_impurity -2.555
4,5,0.0007291073491581557,"safe_div(x_total_impurity, -0.39140176516508773)",((x_total_impurity) / (-0.3914)),((x_total_impurity) / (-0.3914))
5,6,0.0007277212963751668,x_total_impurity * (z_total_impurity + -2.5971972093846243),x_total_impurity * (z_total_impurity - 2.5972),x_total_impurity (z_total_impurity - 2.5972)
6,7,0.0007222310528652162,"safe_div(x_total_impurity, -0.3492038692763466 - z_total_impurity)",((x_total_impurity) / (-0.3492 - z_total_impurity)),((x_total_impurity) / (-0.3492 - z_total_impurity))
7,8,0.0007161277336595101,x_total_impurity * (-2.35880049789196 - (delta_total_impurity * delta_total_impurity)),x_total_impurity * (-2.3588 - (delta_total_impurity * delta_total_impurity)),x_total_impurity (-2.3588 - (delta_total_impurity delta_total_impurity))
8,9,0.0007150717233261604,(x_total_impurity * -2.378519608654269) - (delta_total_impurity * -0.015820277662778385),(x_total_impurity * -2.3785) - (delta_total_impurity * -0.01582),(x_total_impurity -2.3785) - (delta_total_impurity -0.01582)
9,10,0.0007006957686041272,"x_total_impurity * (safepow(y_total_impurity, y_total_impurity) * -3.347843862603855)",x_total_impurity * ((y_total_impurity)^(y_total_impurity) * -3.3478),x_total_impurity (\left(y_total_impurity\right)^{y_total_impurity} -3.3478)
10,11,0.0006924627065464632,(-2.3319729771337427 - abs(-0.3670823078991307 - delta_total_impurity)) * x_total_impurity,(-2.332 - abs(-0.36708 - delta_total_impurity)) * x_total_impurity,(-2.332 - abs(-0.36708 - delta_total_impurity)) x_total_impurity
11,12,0.0006883286064735646,"safepow(y_total_impurity - z_total_impurity, y_total_impurity) * (x_total_impurity * -3.5244268626684323)",(y_total_impurity - z_total_impurity)^(y_total_impurity) * (x_total_impurity * -3.5244),\left(y_total_impurity - z_total_impurity\right)^{y_total_impurity} (x_total_impurity -3.5244)
12,13,0.0006504563836126542,x_total_impurity * (-1.7924678000611767 - abs((logK_total_impurity * delta_total_impurity) - -1.074372232089771)),x_total_impurity * (-1.7925 - abs((logK_total_impurity * delta_total_impurity) + 1.0744)),x_total_impurity (-1.7925 - abs((logK_total_impurity delta_total_impurity) + 1.0744))
13,15,0.0006459960295304332,x_total_impurity * (-2.0208109866416275 - abs((y_total_impurity + (delta_total_impurity * logK_total_impurity)) + 0.6314774309705695)),x_total_impurity * (-2.0208 - abs((y_total_impurity + (delta_total_impurity * logK_total_impurity)) + 0.63148)),x_total_impurity (-2.0208 - abs((y_total_impurity + (delta_total_impurity logK_total_impurity)) + 0.63148))
14,16,0.0006416721128059533,x_total_impurity * (-1.9235063942163355 - abs(-0.551946873384597 - (logK_total_impurity * (delta_total_impurity + 0.23372504696162463)))),x_total_impurity * (-1.9235 - abs(-0.55195 - (logK_total_impurity * (delta_total_impurity + 0.23373)))),x_total_impurity (-1.9235 - abs(-0.55195 - (logK_total_impurity (delta_total_impurity + 0.23373))))
